Year;Id;Waste_Type;Waste treatment plants;Input to waste treatment plants;Wastes generated in the own local unit;Waste delivered from the domestic territory;Waste delivered from abroad
2017;EAV-010102-U;Wastes from mineral non-metalliferous excavation;15;26619.5;26619.5;0.0;
2017;EAV-010306-U;Tailings (except 010304, 010305);10;6.3;3.6;2.7;
2017;EAV-010407-G;Wastes from phys.,chem. proc. of non-met. minerals;8;23.9;0.0;23.2;0.7
2017;EAV-010408-U;Waste gravel and crushed rocks (except 010407);26;897.6;835.2;62.3;
2017;EAV-010409-U;Waste sand and clays;19;39.7;25.6;14.1;
2017;EAV-010410-U;Dusty and powdery wastes (except 010407);24;5.9;1.7;4.3;
2017;EAV-010411-U;Wastes from potash, rock salt proc.(except 010407);11;1357.2;1321.0;36.2;
2017;EAV-010412-U;Tailings fr. washing of minerals(ex.010407,010411);6;31.9;31.3;0.6;
2017;EAV-010413-U;Wastes from stone cutting and sawing (ex. 010407);35;46.2;36.6;9.6;
2017;EAV-010499-U;Proc. of non-metalliferous minerals: Wastes n.o.s.;4;0.2;0.0;0.2;
2017;EAV-010504-U;Freshwater drilling muds and wastes;27;6.7;0.1;6.6;
2017;EAV-010505-G;Oil-containing drilling muds and wastes;14;76.7;;76.7;
2017;EAV-010506-G;Drilling muds, wastes cont. hazardous substances;5;1.2;0.0;1.2;
2017;EAV-010508-U;Chloride-cont. drilling muds (ex.010505,010506);16;30.5;;30.5;
2017;EAV-020101-U;Agriculture etc: Sludges from washing and cleaning;6;12.1;;12.1;
2017;EAV-020102-U;Agriculture etc: Animal-tissue waste;8;59.3;;59.3;
2017;EAV-020103-U;Agriculture etc: Plant-tissue waste;247;516.2;56.2;457.8;2.3
2017;EAV-020104-U;Agriculture etc: Waste plastics (except packaging);67;36.4;;32.3;4.1
2017;EAV-020106-U;Animal faeces, urine and manure, effluent;224;959.1;321.9;628.0;9.2
2017;EAV-020107-U;Wastes from forestry;78;475.7;68.6;405.9;1.2
2017;EAV-020108-G;Agrochemical waste containing hazardous substances;17;1.2;0.0;0.9;0.3
2017;EAV-020109-U;Agrochemical waste (except 020108);7;0.4;0.1;0.3;0.0
2017;EAV-020110-U;Agriculture etc: Waste metal;11;3.5;;3.5;
2017;EAV-020199-U;Agriculture etc: Wastes n.o.s.;7;4.4;;4.4;
2017;EAV-020201-U;Meat etc: Sludges from washing and cleaning;12;22.5;18.9;3.6;
2017;EAV-020202-U;Meat etc: Animal-tissue waste;24;189.3;;174.2;15.1
2017;EAV-020203-U;Meat etc: Materials unsuitable for cons. or proc.;123;575.9;50.7;470.1;55.0
2017;EAV-020204-U;Meat etc: Sludges from on-site effluent treatment;185;917.1;14.9;883.3;18.9
2017;EAV-020299-U;Preparation of meat, fish etc: Wastes n.o.s.;28;75.1;0.0;75.1;
2017;EAV-020301-U;Fruit etc: Sludges from washing, cleaning etc.;39;213.6;179.0;34.6;
2017;EAV-020304-U;Fruit etc: Materials unsuitable for cons. or proc.;248;629.4;84.5;457.3;87.6
2017;EAV-020305-U;Fruit etc: Sludges from on-site effluent treatment;31;27.2;0.1;27.0;0.1
2017;EAV-020399-U;Preparation of fruit,vegetables etc: Wastes n.o.s.;29;98.7;52.8;36.0;9.9
2017;EAV-020499-U;Sugar processing: Wastes n.o.s.;6;106.2;103.5;2.7;
2017;EAV-020501-U;Dairy prod.: Materials unsuitable for cons., proc.;51;74.3;1.4;70.1;2.8
2017;EAV-020502-U;Dairy prod.: Sludges from on-site effluent treatm.;40;86.9;;86.8;0.0
2017;EAV-020599-U;Dairy products industry: Wastes n.o.s.;7;8.9;;8.9;
2017;EAV-020601-U;Baking,confect.: Materials unsuit. for cons.,proc.;76;314.2;0.2;274.7;39.3
2017;EAV-020603-U;Baking,confect.: Sludges from on-site effl.treatm.;6;5.7;;5.7;
2017;EAV-020701-U;Beverages: Wastes from washing of raw materials;8;2.1;;2.1;0.0
2017;EAV-020702-U;Beverages: Wastes from spirits distillation;27;307.1;292.0;15.2;
2017;EAV-020704-U;Beverages: Materials unsuitable for cons. or proc.;63;53.8;0.0;53.8;
2017;EAV-020705-U;Beverages: Sludges from on-site effluent treatment;11;6.9;1.0;6.0;
2017;EAV-020799-U;Production of beverages: Wastes n.o.s.;15;3.5;;3.5;
